id,skills,titles,major
/in/cassandra-vose/,"['Data Warehousing', 'Data Analysis', 'Business Intelligence', 'Analysis', 'Microsoft Office', 'SQL', 'Leadership', 'Data Warehousing', 'Data Analysis', 'Business Intelligence', 'Microsoft Office', 'SQL', 'Analysis', 'Leadership']","['Senior Manager/Data Engineer', 'Consultant']","['Bachelor of Science, Civil & Environmental Engineering']"
/in/samitra-harrington-3ab715141/,1,['Research Ambassador'],"[""Bachelor's degree, Sociology""]"
/in/kavyadagli/,"['Python', 'Java', 'JavaScript', 'C', 'HTML', 'Python', 'Java', 'JavaScript', 'C', 'HTML']","['Software Engineer Intern', 'Teaching Assistant (Object-Oriented Programming)', 'Machine Learning Intern', 'Teaching Assistant']","['Bachelor of Science - BS, Computer Science']"
/in/melvin-molina/,"['Java', 'C (Programming Language)', 'Python (Programming Language)', 'Java', 'C (Programming Language)', 'Python (Programming Language)']","['Associate Software Engineer', 'High School Teacher', 'Instructional Assistant', 'Instructor', 'Software Engineer', 'Robotics Instructor', 'Technical Researcher', 'Computer Science Tutor', 'Learning Assistant']","['Bachelor of Science - BS, Computer Science', 'Associate of Arts - AA, Computer Science', 'Computer Programming Certificate, Computer Programming']"
/in/sarah-nguyen-4706b4205/,['NaN'],['NaN'],"['Bachelor of Science - BS, Community Health and Preventive Medicine', 'Public Health Education and Promotion', 'High School Diploma']"
/in/shivppatel/,"['Java', 'Python', 'JavaScript', 'Git', 'Problem Solving', 'Communication<span class=""white-space-pre""> </span></span><span class=""visually-hidden"">', 'Java', 'Python', 'JavaScript', 'Git', 'Problem Solving', 'Communication<span class=""white-space-pre""> </span></span><span class=""visually-hidden"">']","['University of Maryland', 'University of Maryland']",['Bachelor of Science - BS']
/in/excela/,"['Leadership', 'Research', 'Microsoft Office', 'Tutoring', 'Problem Solving', 'English', 'Research', 'Tutoring', 'Microsoft Office', 'Leadership', 'Problem Solving', 'English']","['Software Automation Engineer (Intern)', 'Undergraduate Student Researcher', 'Engagement Associate', 'Student Computer Technician']","['Bachelor of Engineering - BE, Computer Engineering', 'Associate of Science - AS, Computer Science']"
/in/adam-jacques/,"['SolidWorks', 'Python (Programming Language)', 'Matlab', 'C++', 'Autodesk Inventor', 'Microsoft Office', 'Pandas (Software)', 'Teamwork', 'Drone Piloting', 'Drone Videography', 'Drone Piloting', 'Drone Videography', 'SolidWorks', 'Python (Programming Language)', 'Matlab', 'C++', 'Autodesk Inventor', 'Microsoft Office', 'Pandas (Software)', 'Teamwork']","['University Recreation and Wellness', 'University Recreation and Wellness', 'University Recreation and Wellness', 'University Recreation and Wellness', 'University Recreation and Wellness']","['Bachelor of Science - BS, Mechanical Engineering', ""Bachelor's degree, Mechanical Engineering""]"
/in/azariah-knox-529a95170/,['NaN'],['NaN'],"['Bachelor of Science - BS, Mechanical Engineering']"
/in/clydeapaid/,"['Microsoft Office', 'Financial Analysis', 'Marketing Strategy', 'Social Media', 'Strategic Planning', 'Sales', 'Startup Development', 'Startup Marketing', 'Call Center Development', 'Call Center Administration', 'Financial Planning', 'Medical Billing', 'Telecommunications', 'Telemedicine', 'Public-private Partnerships', 'Emerging Markets', 'Technology Start-up', 'Employee Training', 'Recruiting', 'Customer Service Management', 'Financial Analysis', 'Marketing Strategy', 'Social Media', 'Sales', 'Startup Development', 'Startup Marketing', 'Call Center Development', 'Call Center Administration', 'Financial Planning', 'Medical Billing', 'Telecommunications', 'Telemedicine', 'Public-private Partnerships', 'Emerging Markets', 'Technology Start-up', 'Employee Training', 'Recruiting', 'Customer Service Management', 'Microsoft Office', 'Strategic Planning']","['Manager', 'Pathways Operations Management Intern', 'Chief Operating Officer', 'General Manager', 'General Manager']","['Master of Business Administration (M.B.A.)', 'Bachelor of Science (B.S.), Business Administration and Management and Marketing']"
